Name,Image,Location,Coordinates,Year first lit,Automated,Year deactivated,Current Lens,Focal Height
Baker Shoal Range Front Light,,Port Penn,39°32′27″N 75°34′00″W / 39.5409°N 75.5666°W / 39.5409; -75.5666,"1902 (First)
2002 (Current)",1924[4],"Active
(Original demolished)",LED,035 35 ft (11 m)
Baker Shoal Range Rear Light,,Port Penn,39°30′43″N 75°34′12″W﻿ / ﻿39.5120°N 75.5699°W﻿ / 39.5120; -75.5699﻿ (Baker Shoal Range Rear Light),1904,1924[4],Active,Unknown,110 110 ft (34 m)
Bellevue Range Rear Light,,Wilmington,39°43′13″N 75°31′04″W﻿ / ﻿39.7203°N 75.5179°W﻿ / 39.7203; -75.5179﻿ (Bellevue Range Rear Light)[5],"1909 (First)
2001 (Current)",1934[5],"Active
(skeleton tower)",Unknown,100 100 ft (30 m)[6]
Cape Henlopen Beacon,,"Lewes
(Cape Henlopen)",38°47′25″N 75°04′50″W﻿ / ﻿38.7903°N 75.0806°W﻿ / 38.7903; -75.0806﻿ (Cape Henlopen Beacon)[7],"1825[8] (First)
1864[8] (Last)",Never,"1884[8]
(Demolished)",None,045 45 ft (14 m)[7]
Cape Henlopen Light,,"Lewes
(Cape Henlopen)",38°46′41″N 75°05′02″W﻿ / ﻿38.778°N 75.084°W﻿ / 38.778; -75.084﻿ (Cape Henlopen Light)[9],1769,Never,"1924
(Destroyed in 1926)",None,126 126 ft (38 m)[9]
Cherry Island Range Rear Light,,Bellefonte,39°45′43″N 75°29′24″W﻿ / ﻿39.762°N 75.490°W﻿ / 39.762; -75.490﻿ (Cherry Island Range Rear Light)[10],"1880 (First)
1970s (Current)",1933,"Active
(Original demolished)",Unknown,120 120 ft (37 m)[10]
Christiana Light,None known,"Christina River
(Entrance)",39°43′19″N 75°31′12″W﻿ / ﻿39.722°N 75.520°W﻿ / 39.722; -75.520﻿ (Christiana Light)[11],1835[12],Never,"1909[12]
(Demolished in 1939[12])",None,044 44 ft (13 m)[11]
Christiana North Jetty Light,,"Christina River
(Entrance)",39°43′05″N 75°30′58″W﻿ / ﻿39.718°N 75.516°W﻿ / 39.718; -75.516﻿ (Christiana North Jetty Light)[11],1884[5],Never,"Unknown
(Destroyed[13])",None,037 37 ft (11 m)[11]
Delaware Breakwater East End Light,,Lewes,38°47′50″N 75°06′01″W﻿ / ﻿38.7972°N 75.1003°W﻿ / 38.7972; -75.1003﻿ (Delaware Breakwater East End Light),1885,1950,1996,Unknown,060 60 ft (18 m)
"Delaware Breakwater Range Front Light
 (Delaware Breakwater West End Light)",,Lewes,38°47′57″N 75°06′29″W﻿ / ﻿38.7992°N 75.1081°W﻿ / 38.7992; -75.1081﻿ (Delaware Breakwater Range Front Light)[14],1838,Never,"1903
(Demolished in 1950)",None,045 45 ft (14 m)[14]
Delaware Breakwater Range Rear Light,,Lewes,38°47′23″N 75°10′10″W﻿ / ﻿38.7897°N 75.1694°W﻿ / 38.7897; -75.1694﻿ (Delaware Breakwater Range Rear Light)[11],1881[15],Never,"1918[15]
(Re-erected in Florida[15])",None,103 103 ft (31 m)[11]
Fenwick Island Light,,Fenwick Island,38°27′05″N 75°03′18″W﻿ / ﻿38.4514°N 75.0550°W﻿ / 38.4514; -75.0550﻿ (Fenwick Island Light)[16],1859,1978,"Active
(Inactive: 1978-1982)",Third-order Fresnel,083 83 ft (25 m)
Fourteen Foot Bank Light,,Delaware Bay,39°02′54″N 75°10′56″W﻿ / ﻿39.0482°N 75.1822°W﻿ / 39.0482; -75.1822﻿ (Fourteen Foot Bank Light),1887,1973,Active,Unknown,059 59 ft (18 m)
Harbor of Refuge Light,,Lewes,38°48′52″N 75°05′33″W﻿ / ﻿38.8145°N 75.0924°W﻿ / 38.8145; -75.0924﻿ (Harbor of Refuge Light),"1908 (First)
1926 (Current)",1973,Active,VRB-25,072 72 ft (22 m)
